电影代码: 00100072025, 电影名: 哪吒之魔童闹海, 上映天数: 34
[2811.53, 63.28%, 53.16%, 0]
[14090.85, 77.87%, 55.25%, 6]
[23437.52, 81.38%, 55.21%, 5]
[9660.41, 74.98%, 53.68%, 4]
[4888.22, 67.72%, 55.37%, 3]
[5329.25, 69.90%, 55.95%, 2]
[6131.13, 71.25%, 56.49%, 1]
[7449.80, 76.71%, 57.08%, 0]
[35181.59, 85.66%, 59.48%, 6]
[52104.96, 86.93%, 57.25%, 5]
[22883.10, 83.84%, 57.08%, 4]
[12831.32, 80.38%, 58.06%, 3]
[14577.07, 81.78%, 58.40%, 2]
[16648.32, 83.06%, 58.65%, 1]
[19393.12, 85.46%, 59.80%, 0]
[61421.02, 86.82%, 60.34%, 6]
[78791.72, 85.92%, 55.45%, 5]
[58111.28, 78.69%, 52.01%, 4]
[36035.19, 84.90%, 59.52%, 3]
[53341.41, 85.09%, 59.48%, 2]
[48212.30, 84.03%, 58.40%, 1]
[48166.20, 82.99%, 57.51%, 0]
[76152.55, 82.03%, 56.50%, 6]
[62005.75, 80.93%, 55.13%, 5]
[54167.49, 79.38%, 53.59%, 4]
[58594.32, 77.12%, 52.18%, 3]
[64954.38, 74.65%, 50.84%, 2]
[86666.73, 70.93%, 49.74%, 1]
[84359.48, 68.38%, 47.54%, 0]
[81275.84, 63.60%, 43.58%, 6]
电影代码: 00106802024, 电影名: 唐探1900, 上映天数: 34
[579.98, 13.05%, 15.12%, 0]
[1572.38, 8.69%, 13.74%, 6]
[2291.34, 7.96%, 13.32%, 5]
[1089.86, 8.46%, 13.94%, 4]
[766.12, 10.61%, 15.31%, 3]
[836.45, 10.97%, 15.23%, 2]
[888.53, 10.33%, 15.09%, 1]
[940.46, 9.68%, 14.90%, 0]
[2698.94, 6.57%, 13.54%, 6]
[3806.07, 6.35%, 12.94%, 5]
[1953.89, 7.16%, 14.98%, 4]
[1484.85, 9.30%, 16.38%, 3]
[1605.43, 9.01%, 16.34%, 2]
[1711.90, 8.54%, 16.26%, 1]
[1872.03, 8.25%, 16.40%, 0]
[4537.58, 6.41%, 14.74%, 6]
[6511.51, 7.10%, 17.85%, 5]
[7685.33, 10.41%, 17.88%, 4]
[3802.76, 8.96%, 18.83%, 3]
[5616.52, 8.96%, 18.85%, 2]
[5505.07, 9.59%, 19.31%, 1]
[5991.54, 10.32%, 19.80%, 0]
[9825.93, 10.58%, 19.53%, 6]
[9002.83, 11.75%, 21.00%, 5]
[8629.02, 12.64%, 21.77%, 4]
[10740.71, 14.14%, 22.54%, 3]
[13764.56, 15.82%, 23.23%, 2]
[21454.46, 17.56%, 23.83%, 1]
[23988.51, 19.44%, 24.82%, 0]
[28281.02, 22.13%, 25.85%, 6]
电影代码: 00105932024, 电影名: 封神第二部：战火西岐, 上映天数: 34
[209.23, 4.71%, 5.14%, 0]
[302.03, 1.67%, 3.99%, 6]
[417.03, 1.45%, 3.74%, 5]
[340.79, 2.64%, 4.38%, 4]
[458.65, 6.35%, 5.34%, 3]
[429.19, 5.63%, 5.14%, 2]
[545.03, 6.33%, 4.93%, 1]
[341.64, 3.52%, 4.62%, 0]
[400.54, 0.98%, 3.40%, 6]
[469.33, 0.78%, 3.06%, 5]
[313.00, 1.15%, 4.34%, 4]
[302.28, 1.89%, 5.25%, 3]
[315.70, 1.77%, 5.12%, 2]
[331.12, 1.65%, 4.94%, 1]
[345.35, 1.52%, 4.76%, 0]
[549.42, 0.78%, 2.92%, 6]
[611.50, 0.67%, 2.33%, 5]
[611.44, 0.83%, 2.34%, 4]
[684.28, 1.61%, 6.19%, 3]
[955.64, 1.52%, 6.21%, 2]
[976.23, 1.70%, 6.51%, 1]
[1088.03, 1.87%, 6.76%, 0]
[2056.90, 2.22%, 8.44%, 6]
[1775.66, 2.32%, 7.26%, 5]
[1767.57, 2.59%, 7.59%, 4]
[2156.54, 2.84%, 7.99%, 3]
[2842.22, 3.27%, 8.43%, 2]
[4800.83, 3.93%, 8.67%, 1]
[5355.79, 4.34%, 9.40%, 0]
[6899.81, 5.40%, 10.73%, 6]
电影代码: 00104132024, 电影名: 射雕英雄传：侠之大者, 上映天数: 34
[50.51, 1.14%, 2.16%, 0]
[125.31, 0.69%, 1.56%, 6]
[189.87, 0.66%, 1.53%, 5]
[94.51, 0.73%, 1.83%, 4]
[87.66, 1.21%, 2.41%, 3]
[83.08, 1.09%, 2.34%, 2]
[89.96, 1.05%, 2.22%, 1]
[91.03, 0.94%, 2.07%, 0]
[333.00, 0.81%, 1.47%, 6]
[272.66, 0.45%, 1.24%, 5]
[139.16, 0.51%, 1.89%, 4]
[136.37, 0.85%, 2.46%, 3]
[142.72, 0.80%, 2.38%, 2]
[158.66, 0.79%, 2.28%, 1]
[178.79, 0.79%, 2.08%, 0]
[342.68, 0.48%, 1.12%, 6]
[353.69, 0.39%, 0.86%, 5]
[226.98, 0.31%, 0.85%, 4]
[260.65, 0.61%, 2.54%, 3]
[297.82, 0.48%, 2.54%, 2]
[315.18, 0.55%, 2.69%, 1]
[333.48, 0.57%, 2.76%, 0]
[761.69, 0.82%, 2.70%, 6]
[543.27, 0.71%, 3.04%, 5]
[499.96, 0.73%, 3.28%, 4]
[621.91, 0.82%, 3.46%, 3]
[842.77, 0.97%, 3.69%, 2]
[2457.60, 2.01%, 4.31%, 1]
[2293.41, 1.86%, 4.56%, 0]
[2875.85, 2.25%, 5.34%, 6]
电影代码: 00200132000, 电影名: 花样年华（2000）, 上映天数: 18
[41.83, 0.94%, 1.89%, 0]
[105.67, 0.58%, 1.43%, 6]
[126.24, 0.44%, 1.29%, 5]
[78.42, 0.61%, 1.71%, 4]
[77.88, 1.08%, 2.69%, 3]
[83.71, 1.10%, 2.69%, 2]
[91.76, 1.07%, 2.64%, 1]
[96.57, 0.99%, 2.54%, 0]
[224.30, 0.55%, 1.98%, 6]
[265.31, 0.44%, 1.72%, 5]
[200.95, 0.74%, 2.98%, 4]
[189.61, 1.19%, 4.22%, 3]
[213.23, 1.20%, 4.26%, 2]
[244.56, 1.22%, 4.24%, 1]
[295.27, 1.30%, 4.24%, 0]
[594.89, 0.84%, 3.61%, 6]
[766.11, 0.84%, 3.63%, 5]
[2095.86, 2.84%, 7.49%, 4]
[2.52, 0.01%, 0.00%, 3]
[41.83, 0.94%, 1.89%, 0]
[105.67, 0.58%, 1.43%, 6]
[126.24, 0.44%, 1.29%, 5]
